Output1,Output2,Output3,Output4,Truth
An old man wearing a white shirt and black pants in the water with his face,An old man wearing a white shirt and black pants in the grass with his face,An old man wearing a white shirt and black pants in the water with glasses,An old man wearing a white shirt and black pants in the water with his day,"One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground"
A man is walking down the street,A woman is sitting on the street,A woman is sitting on the ground,A man is sitting on the street,A man watches his daughter leap
A group of people are walking down the street,A group of people are walking down a street,A group of people are sitting on the beach,A group of people are standing outside,A young family enjoys feeling ocean waves lap at their feet
A group of people walking down the street,A group of people are standing outside,A group of people are sitting on a bench,A group of people walking down a street,A young man and woman take their child to the beach for the first time
A group of people are walking down the street,A group of people are walking down a street,A group of people are sitting on the beach,A group of people are standing outside,A young family enjoys feeling ocean waves lap at their feet
A group of people are sitting outside,A woman is sitting on a bench,A woman is standing outside,A group of people are standing,A family is out at a restaurant
A group of people are walking down the street,A group of people are walking down a street,A group of people are sitting on the beach,A group of people are standing outside,A young family enjoys feeling ocean waves lap at their feet
A group of people are sitting outside,A group of people are outside,A group of people are standing,A group of people are sitting,A family is at the beach
A group of people are standing outside,A group of people are sitting on a bench,A man is walking down the street,A group of people are sitting outside,A couple walk hand in hand down a street
A man is walking down the street,A woman is walking on the street,A woman is sitting on the street,A woman is walking down a street,A couple is walking together
A group of people are standing outside,A group of people are sitting on a bench,A man is walking down the street,A group of people are sitting outside,A couple walk hand in hand down a street
The people are sitting outside,The woman is sitting outside,The man is sitting outside,The woman is wearing a blue,The couple is married
A group of people are standing outside,A group of people are sitting on a bench,A man is walking down the street,A group of people are sitting outside,A couple walk hand in hand down a street
A woman is sitting on a bench,A woman is sitting in the water,A woman is sitting in the street,A man is sitting on a bench,A couple is sitting on a bench
3 people are walking down the street,3 men are walking down the street,3 people are sitting at the camera,3 people are walking down a street,3 young man in hoods standing in the middle of a quiet street facing the camera
3 people are sitting in the background,3 people are sitting on the ground,3 people are sitting on the beach,3 people are sitting on a bench,Three people sit by a busy street bareheaded
3 people are walking down the street,3 men are walking down the street,3 people are sitting at the camera,3 people are walking down a street,3 young man in hoods standing in the middle of a quiet street facing the camera
3 people are standing outside,3 people are sitting on a bench,3 people are sitting outside,A woman is standing outside,Three hood wearing people pose for a picture
3 people are walking down the street,3 men are walking down the street,3 people are sitting at the camera,3 people are walking down a street,3 young man in hoods standing in the middle of a quiet street facing the camera
3 people are standing outside,3 people are sitting on a bench,3 people are standing on a bench,3 people are sitting on a street,Three hood wearing people stand in a street
A group of people are sitting on a bench,A group of people are standing outside,A group of people are standing on a bench,A group of people are sitting outside,A man reads the paper in a bar with green lighting
The man is wearing a blue shirt,The woman is sitting outside,The woman is sitting on a bench,The man is sitting outside,The man is inside
A group of people are sitting on a bench,A group of people are standing outside,A group of people are standing on a bench,A group of people are sitting outside,A man reads the paper in a bar with green lighting
The woman is sitting on a bench,The woman is sitting outside,The woman is sitting on a street,The man is sitting on a bench,The man is reading the sportspage
A group of people are sitting on a bench,A group of people are standing outside,A group of people are standing on a bench,A group of people are sitting outside,A man reads the paper in a bar with green lighting
The man is wearing a blue shirt,The woman is sitting on a bench,A man is sitting on the street,The man is sitting on a bench,The man is climbing a mountain
3 people are standing outside,3 people are sitting on a bench,3 people are sitting outside,3 people are standing on a bench,Three firefighter come out of subway station
3 people are walking down the street,3 people are walking down a street,3 people are walking through a street,3 people are sitting on a bench,Three firefighters putting out a fire inside of a subway station
3 people are standing outside,3 people are sitting on a bench,3 people are sitting outside,3 people are standing on a bench,Three firefighter come out of subway station
3 people are standing outside,3 people are sitting on a bench,3 people are sitting outside,3 people are standing on a bench,Three firefighters coming up from a subway station
3 people are standing outside,3 people are sitting on a bench,3 people are sitting outside,3 people are standing on a bench,Three firefighter come out of subway station
3 people are standing outside,3 people are sitting in the water,3 people are sitting on the beach,3 people are sitting on a bench,Three firefighters playing cards inside a fire station
A man in a white shirt and blue jeans are playing on the ground,A man in a white shirt and blue jeans are playing on the grass,A man in a white shirt and blue jeans are playing the guitar,A man in a white shirt and blue jeans are playing on the beach,"A person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground"
A man is walking down the street,A woman is sitting on the street,A woman is sitting on the ground,A man is sitting on the ground,A person is near a pile of coconuts
A man in a white shirt and blue jeans are playing on the ground,A man in a white shirt and blue jeans are playing on the grass,A man in a white shirt and blue jeans are playing the guitar,A man in a white shirt and blue jeans are playing on the beach,"A person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground"
A woman is sitting on the beach,A man is sitting on the street,A man is sitting on the ground,A woman is sitting on the grass,A person is selling coconuts
A man in a white shirt and blue jeans are playing on the ground,A man in a white shirt and blue jeans are playing on the grass,A man in a white shirt and blue jeans are playing the guitar,A man in a white shirt and blue jeans are playing on the beach,"A person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground"
A woman is sitting on a bench,A man is sitting on the street,A man is sitting on a bench,A man is standing outside,A person is burning a straw hat
A man is holding a book outside,A man is about to the beach,The woman is about to looking on,The woman is about to look on,Male in a blue jacket decides to lay in the grass
The woman is walking on a street,The woman is walking on a bench,The woman is holding a red shirt,The woman is walking on a beach,The guy in yellow is rolling on the grass
A man is holding a book outside,A man is about to the beach,The woman is about to looking on,The woman is about to look on,Male in a blue jacket decides to lay in the grass
The woman is wearing a blue shirt,A man is sitting on the ground,The man is wearing a blue shirt,The woman is sitting on a bench,The guy wearing a blue jacket is laying on the green grass
A man is holding a book outside,A man is about to the beach,The woman is about to looking on,The woman is about to look on,Male in a blue jacket decides to lay in the grass
The man is wearing a blue shirt and glasses,The woman is wearing a black shirt,The woman is wearing a blue shirt,The man is wearing a blue shirt,The guy wearing a blue jacket is laying on the green grass taking a nap
People are standing outside on a bench,People are standing outside of a crowd,People are standing in the water,People are sitting on the beach,During calf roping a cowboy calls off his horse
A group of people are standing outside,A group of people are sitting on a bench,A group of people are sitting outside,A group of people are outside,A first time roper falls off his horse
People are standing outside on a bench,People are standing outside of a crowd,People are standing in the water,People are sitting on the beach,During calf roping a cowboy calls off his horse
Construction workers are playing,Children are playing outside,Construction workers are sitting,Children playing in the water,Cowboy falling off horse
People are standing outside on a bench,People are standing outside of a crowd,People are standing in the water,People are sitting on the beach,During calf roping a cowboy calls off his horse
A woman is sitting on the beach,A man is sitting on the street,A woman is sitting on a bench,A man is sitting on the ground,A man ropes a calf successfully
A man wearing a yellow shirt and blue jeans holds the street,A man wearing a yellow shirt and blue jeans holds the ground,A man wearing a yellow shirt and blue jeans holds the camera,A man wearing a yellow shirt and blue jeans holds the grass,A little boy in a gray and white striped sweater and tan pants is playing on a piece of playground equipment
A group of people are outside,A group of people are outdoors,A group of people are walking,A group of people are watching,A boy is on a playground
A man wearing a yellow shirt and blue jeans holds the street,A man wearing a yellow shirt and blue jeans holds the ground,A man wearing a yellow shirt and blue jeans holds the camera,A man wearing a yellow shirt and blue jeans holds the grass,A little boy in a gray and white striped sweater and tan pants is playing on a piece of playground equipment
A group of people walking down the street,A group of people are standing outside,A group of people are sitting on the beach,A group of people are sitting in the water,The boy is playing on the swings after school
A man wearing a yellow shirt and blue jeans holds the street,A man wearing a yellow shirt and blue jeans holds the ground,A man wearing a yellow shirt and blue jeans holds the camera,A man wearing a yellow shirt and blue jeans holds the grass,A little boy in a gray and white striped sweater and tan pants is playing on a piece of playground equipment
A group of people walking down the street,A group of people are standing outside,A group of people are sitting on the beach,A group of people are sitting in the water,The boy is sitting on the school bus on his way home
A woman is walking down the street,A man is walking down the street,A woman is walking down the street with a ball,A woman is walking down the street with a park,A woman wearing a ball cap squats down to touch the cracked earth
A group of people are standing outside,A group of people are watching the street,A group of people are sitting on a bench,A group of people are standing on a bench,An archeologist wearing a hat squats to examine the site for a dig
A woman is walking down the street,A man is walking down the street,A woman is walking down the street with a ball,A woman is walking down the street with a park,A woman wearing a ball cap squats down to touch the cracked earth
A group of people are standing outside,A group of people are watching the street,A group of people are watching at a table,A group of people are standing at a table,A squatting woman wearing a hat touching the ground
A woman is walking down the street,A man is walking down the street,A woman is walking down the street with a ball,A woman is walking down the street with a park,A woman wearing a ball cap squats down to touch the cracked earth
A man is walking down the street,A woman is sitting on a bench in the water,A woman is walking down a busy street,A woman is walking down a street,A woman wearing a sun bonnet planting a garden
2 people are sitting on a bench in the water,2 people are sitting on a bench next to the ball,2 people are sitting on a bench next to the wall,2 people are standing outside on a bench,Two children re laying on a rug with some wooden bricks laid out in a square between them
2 people are sitting on a bench,2 people are standing outside,The woman is sitting on a bench,2 people are standing on a bench,Two children are building a brick furnace
2 people are sitting on a bench in the water,2 people are sitting on a bench next to the ball,2 people are sitting on a bench next to the wall,2 people are standing outside on a bench,Two children re laying on a rug with some wooden bricks laid out in a square between them
Two people are sitting on a bench,2 people are sitting on the beach,2 people are standing outside,2 people are sitting on a bench,Two children are playing catch at a park
2 people are sitting on a bench in the water,2 people are sitting on a bench next to the ball,2 people are sitting on a bench next to the wall,2 people are standing outside on a bench,Two children re laying on a rug with some wooden bricks laid out in a square between them
The people are sitting on a bench,The people are sitting outside,2 people are sitting on a bench,The people are sitting on a beach,Two children are on a rug
A group of people are standing outside on the beach,A group of people are standing outside in the water,A group of people are standing outside in the middle,A group of people are standing outside next to a park,A man standing in front of a building on the phone as two men to the side pain on the side
a woman is walking down the street,a woman is walking through a street,a woman is walking down a street,a woman is walking on the street,a guy near a building stands by two other men
A group of people are standing outside on the beach,A group of people are standing outside in the water,A group of people are standing outside in the middle,A group of people are standing outside next to a park,A man standing in front of a building on the phone as two men to the side pain on the side
Two people are sitting on a bench,Two people are sitting on a street,The man is wearing a blue shirt,Two people are sitting outside,two girls walk through a hall
A group of people are standing outside on the beach,A group of people are standing outside in the water,A group of people are standing outside in the middle,A group of people are standing outside next to a park,A man standing in front of a building on the phone as two men to the side pain on the side
a woman is walking on a bench,a man is walking through a ball,A woman is walking on a bench,a man is walking on a bench,a busy man stands with bodyguards
The people are walking down a street with their ball,The people are walking down a street in front of him,The woman is walking down a street with their ball,The man is walking down a street with their ball,"The two young girls are dressed as fairies, and are playing in the leaves outdoors"
The woman is sitting outside,The man is sitting outside,The people are outside,The people are outdoors,Girls are playing outdoors
The people are walking down a street with their ball,The people are walking down a street in front of him,The woman is walking down a street with their ball,The man is walking down a street with their ball,"The two young girls are dressed as fairies, and are playing in the leaves outdoors"
2 people are standing outside,2 people are sitting outside,The people are outside,The people are outdoors,Two girls play dress up indoors
The people are walking down a street with their ball,The people are walking down a street in front of him,The woman is walking down a street with their ball,The man is walking down a street with their ball,"The two young girls are dressed as fairies, and are playing in the leaves outdoors"
The people are sitting outside,The man is sitting outside,The man is sitting on a bench,The people are outside,The two girls play in the Autumn
The woman is sitting on a bench,The woman is wearing a blue shirt,The man is wearing a blue shirt,The woman is wearing a red shirt,People jump over a mountain crevasse on a rope
A woman is sitting on the street,The woman is walking down a street,A woman is sitting on the ground,The woman is sitting on a bench,Some people look visually afraid to jump
The woman is sitting on a bench,The woman is wearing a blue shirt,The man is wearing a blue shirt,The woman is wearing a red shirt,People jump over a mountain crevasse on a rope
People are sitting on the beach,People are sitting on the ground,People are standing in the water,People are standing outside,People are jumping outside
The woman is sitting on a bench,The woman is wearing a blue shirt,The man is wearing a blue shirt,The woman is wearing a red shirt,People jump over a mountain crevasse on a rope
The man is sitting on a bench with her face,The man is sitting on a bench outdoors,The woman is wearing a blue shirt,The woman is wearing a black shirt,People slide over a mountain crevasse on a slide
A group of people are standing outside,A group of people are sitting on a bench,A group of people are sitting on a street,A group of people are standing on a bench,A snowboarder on a wide plain of snow
A man is walking down the street,A woman is walking through a ball,A man is sitting on a bench,A woman is walking on a bench,A snow field with a snowboarder on it
A group of people are standing outside,A group of people are sitting on a bench,A group of people are sitting on a street,A group of people are standing on a bench,A snowboarder on a wide plain of snow
A group of people are sitting on a bench,A group of people are standing outside,A group of people are standing on a bench,A group of people are sitting on a street,A snowboarder gliding over a field of snow
A group of people are standing outside,A group of people are sitting on a bench,A group of people are sitting on a street,A group of people are standing on a bench,A snowboarder on a wide plain of snow
A group of people are standing outside,A group of people are sitting outside,A woman is sitting on a bench,A group of people are walking down,A snowmobile in a blizzard
A group of people are standing outside,A group of people are sitting on a bench,A group of people are walking down,A woman is walking down a street,An older women tending to a garden
The woman is sitting on a bench,The woman is sitting outside,The woman is sitting on a beach,The woman is sitting on a couch,The lady is cooking dinner
A group of people are standing outside,A group of people are sitting on a bench,A group of people are walking down,A woman is walking down a street,An older women tending to a garden
A man is walking down the street,The woman is walking down a street,The man is walking with her hands,The woman is walking with her dog,The lady is weeding her garden
A group of people are standing outside,A group of people are sitting on a bench,A group of people are walking down,A woman is walking down a street,An older women tending to a garden
The man is wearing a blue shirt,The man is wearing a green shirt,The man is wearing a black shirt,The woman is wearing a red shirt,The lady has a garden
A woman is sitting on a bench,A man is sitting on a bench,A man is sitting on the beach,A woman is sitting on a bike,A man in a black shirt overlooking bike maintenance
A man is wearing a blue shirt,A man is wearing a black shirt,A woman is sitting on a bench,A man is sitting on the street,A man destroys a bike
A woman is sitting on a bench,A man is sitting on a bench,A man is sitting on the beach,A woman is sitting on a bike,A man in a black shirt overlooking bike maintenance
A woman is sitting on a bench,A man is sitting on the beach,A man is wearing a blue shirt,A man is sitting on a bench,A man watches bike repairs
A woman is sitting on a bench,A man is sitting on a bench,A man is sitting on the beach,A woman is sitting on a bike,A man in a black shirt overlooking bike maintenance
A man is wearing a blue shirt,A woman is sitting on a bench,A man is sitting on a bench,A woman is sitting outside,A man learns bike maintenance
A man wearing a black shirt and glasses is ready together,A man wearing a black shirt and glasses is ready to catch,A man wearing a black shirt and glasses,A man wearing a black shirt and glasses is ready to ball,A man in a black shirt is looking at a bike in a workshop
A man is walking down the street,A woman is sitting on a bench,A man is walking down a street,A man is sitting on a bench,A man is wearing a red shirt
A man wearing a black shirt and glasses is ready together,A man wearing a black shirt and glasses is ready to catch,A man wearing a black shirt and glasses,A man wearing a black shirt and glasses is ready to ball,A man in a black shirt is looking at a bike in a workshop
A man is walking down the street,A woman is sitting on the street,A woman is sitting on a bench,A man is walking down a street,A man is in a black shirt
A man wearing a black shirt and glasses is ready together,A man wearing a black shirt and glasses is ready to catch,A man wearing a black shirt and glasses,A man wearing a black shirt and glasses is ready to ball,A man in a black shirt is looking at a bike in a workshop
A man is walking down the street,A woman is sitting on the street,A woman is sitting on the beach,A woman is sitting on a bench,A man is deciding which bike to buy
A man wearing a red shirt and blue jeans holds the street,A man wearing a red shirt and blue jeans holds the ground,A man wearing a red shirt and blue jeans holds the camera,A man wearing a red shirt and blue jeans holds the water,A man looking over a bicycle's rear wheel in the maintenance garage with various tools visible in the background
A woman is sitting on a bench,A man is sitting on a bench,A man is sitting on the street,A man is standing outside,A person is in a garage
A man wearing a red shirt and blue jeans holds the street,A man wearing a red shirt and blue jeans holds the ground,A man wearing a red shirt and blue jeans holds the camera,A man wearing a red shirt and blue jeans holds the water,A man looking over a bicycle's rear wheel in the maintenance garage with various tools visible in the background
A man is sitting on the street,A woman is sitting on a bench,A man is standing outside,A woman is sitting outside,A man repairs bicycles
A man wearing a red shirt and blue jeans holds the street,A man wearing a red shirt and blue jeans holds the ground,A man wearing a red shirt and blue jeans holds the camera,A man wearing a red shirt and blue jeans holds the water,A man looking over a bicycle's rear wheel in the maintenance garage with various tools visible in the background
A man is walking down the street,A woman is sitting on a bench in the water,A woman is sitting on a bench,A woman is sitting outside on a bench,A man waits outside a garage
3 people are walking down the street with a yellow shirt and black dressed in front of his face,3 people are walking down the street with a yellow shirt and black dressed in front of his head,3 people are walking down the street with a yellow shirt and black dressed in front of him,3 people are walking down the street with a yellow shirt and black dressed in front of his bike,"Three people sit on a bench at a station, the man looks oddly at the two women, the redheaded women looks up and forward in an awkward position, and the yellow blond girl twiddles with her hair"
The people are sitting outside,People are sitting in the water,People are sitting on a bench,People are sitting outside,Some people stand around
3 people are walking down the street with a yellow shirt and black dressed in front of his face,3 people are walking down the street with a yellow shirt and black dressed in front of his head,3 people are walking down the street with a yellow shirt and black dressed in front of him,3 people are walking down the street with a yellow shirt and black dressed in front of his bike,"Three people sit on a bench at a station, the man looks oddly at the two women, the redheaded women looks up and forward in an awkward position, and the yellow blond girl twiddles with her hair"
The people are sitting outside,The people are walking outside,The man is sitting outside,The man is playing together,People run together
3 people are walking down the street with a yellow shirt and black dressed in front of his face,3 people are walking down the street with a yellow shirt and black dressed in front of his head,3 people are walking down the street with a yellow shirt and black dressed in front of him,3 people are walking down the street with a yellow shirt and black dressed in front of his bike,"Three people sit on a bench at a station, the man looks oddly at the two women, the redheaded women looks up and forward in an awkward position, and the yellow blond girl twiddles with her hair"
People are walking down the street,People are walking down a street,The woman is walking down a street,The people are sitting on a bench,People wait at a station
A group of people are walking down the street in a park,A group of people are walking down the street,A group of people are walking down the street with a man,A group of people are walking down the street outside,A child wearing a red top is standing behind a blond headed child sitting in a wheelbarrow
A woman is walking down the street,A woman is walking down the street with a ball,A man is walking down the street,A man is walking down the street with a ball,A child wearing a red top is standing behind a blond headed child
A group of people are walking down the street in a park,A group of people are walking down the street,A group of people are walking down the street with a man,A group of people are walking down the street outside,A child wearing a red top is standing behind a blond headed child sitting in a wheelbarrow
A woman is walking down the street with a blue ball,A woman is walking down the street with a black hat,A woman is walking down the street with a large bag,A woman is walking down the street with a ball,A child wearing a red top is standing on top of a blond headed child
A group of people are walking down the street in a park,A group of people are walking down the street,A group of people are walking down the street with a man,A group of people are walking down the street outside,A child wearing a red top is standing behind a blond headed child sitting in a wheelbarrow
A woman is walking down the street,A woman is walking down the street with a large bag,A woman is walking down the street with a large car,A woman is walking down the street with a ball,A child wearing a red top is standing behind a pretty blond headed child
A woman is sitting on a bench while another girl in front of him,A woman is sitting on a bench while another girl in front of hands,A woman is sitting on a bench while another girl in front of stage,A woman is sitting on a bench while another girl in front of store,"A person dressed in a dress with flowers and a stuffed bee attached to it, is pushing a baby stroller down the street"
A woman is walking down the street,A man is walking down the street,A woman is walking down the street with a car,A woman is walking down a street,A lady sitting on a bench in the park
A woman is sitting on a bench while another girl in front of him,A woman is sitting on a bench while another girl in front of hands,A woman is sitting on a bench while another girl in front of stage,A woman is sitting on a bench while another girl in front of store,"A person dressed in a dress with flowers and a stuffed bee attached to it, is pushing a baby stroller down the street"
A group of people are standing outside,A group of people walking down a street,A group of people are sitting on a bench,A woman is walking down the street,An old lady pushing a stroller down a busy street
A woman is sitting on a bench while another girl in front of him,A woman is sitting on a bench while another girl in front of hands,A woman is sitting on a bench while another girl in front of stage,A woman is sitting on a bench while another girl in front of store,"A person dressed in a dress with flowers and a stuffed bee attached to it, is pushing a baby stroller down the street"
A woman is walking down the street,A man is walking down the street,A woman is walking down a street,A man is walking down a street,A person outside pushing a stroller
A group of people are standing outside,A group of people are sitting on the beach,A group of people are sitting on a bench,A group of people are standing in a field,A dog jumping for a Frisbee in the snow
A group of people are standing outside,A group of people are sitting on the beach,A group of people are sitting outside,A group of people are sitting on a bench,A pet is enjoying a game of fetch with his owner
A group of people are standing outside,A group of people are sitting on the beach,A group of people are sitting on a bench,A group of people are standing in a field,A dog jumping for a Frisbee in the snow
A group of people are standing next to a market,A group of people are standing outside,A group of people are standing in the water,A group of people are sitting on the beach,A cat washes his face and whiskers with his front paw
A group of people are standing outside,A group of people are sitting on the beach,A group of people are sitting on a bench,A group of people are standing in a field,A dog jumping for a Frisbee in the snow
A group of people are walking down the street,A group of people are standing outside in the water,A group of people are standing outside on the beach,A group of people are walking down a street,"An animal is outside in the cold weather, playing with a plastic toy"
The people are standing outside,The people are sitting on a bench,People are standing outside on a bench,The people are standing on a bench,People are conversing at a dining table under a canopy
People are standing outside on the ground,People are standing outside on the beach,People are standing outside on the grass,People are sitting on the ground,People at a party are seated for dinner on the lawn
The people are standing outside,The people are sitting on a bench,People are standing outside on a bench,The people are standing on a bench,People are conversing at a dining table under a canopy
People are standing in the water,People are sitting in the water,People are sitting on the beach,People are sitting on a bench,People are talking underneath a covering
The people are standing outside,The people are sitting on a bench,People are standing outside on a bench,The people are standing on a bench,People are conversing at a dining table under a canopy
The people are standing outside,The people are sitting on a bench,The people are sitting outside,People are standing outside,People are screaming at a boxing match
A woman is sitting on a bench with her hands,A woman is walking down a street,A woman is sitting on a bench with her face,A woman is sitting on a bench while another,A girl playing a violin along with a group of people
A woman is sitting on a bench,A man is sitting on a bench,A woman is walking on a bench,A man is walking on a bench,A girl is washing a load of laundry
A woman is sitting on a bench with her hands,A woman is walking down a street,A woman is sitting on a bench with her face,A woman is sitting on a bench while another,A girl playing a violin along with a group of people
A woman is walking down the street,A man is walking down the street,A woman is sitting on the street,A woman is walking down a street,A girl is playing an instrument
A woman is sitting on a bench with her hands,A woman is walking down a street,A woman is sitting on a bench with her face,A woman is sitting on a bench while another,A girl playing a violin along with a group of people
A group of people are standing outside,A group of people are sitting on a street,A group of people are sitting on a bench,A group of people are sitting outside,A group of people are playing in a symphony
A group of people are standing outside,A group of people are sitting on a bench,A group of people are sitting outside,A group of people are walking down a tree,A woman within an orchestra is playing a violin
A man is walking down the street,A woman is sitting on the street,A woman is sitting on a bench,A woman is sitting on the ground,A woman is playing a concert
A group of people are standing outside,A group of people are sitting on a bench,A group of people are sitting outside,A group of people are walking down a tree,A woman within an orchestra is playing a violin
A man is walking down the street,A woman is sitting on the street,A woman is walking down a street,A man is sitting on the street,A woman is playing the violin
A group of people are standing outside,A group of people are sitting on a bench,A group of people are sitting outside,A group of people are walking down a tree,A woman within an orchestra is playing a violin
A woman is sitting on a bench,A man is sitting on a bench,A man is sitting on a street,A woman is sitting on a couch,A man is looking in a telescope
